satname,norad_id,inclination_deg,eccentricity,mean_motion_rev_per_day,perigee_km,apogee_km,l1,l2
STARLINK-1500,45744,53.0367,0.0001499,15.40779918,442.78363191767767,444.8288505013925,1 45744U 20038Q   26189.68828161  .00020394  00000+0  49907-3 0  9992,2 45744  53.0367 342.5234 0001499 293.2975  66.7871 15.40779918335437
STARLINK-1504,45746,53.0192,0.0001148,15.61289715,383.15432583541406,384.7068965589442,1 45746U 20038S   26189.54067691  .00029355  00000+0  34417-3 0  9998,2 45746  53.0192 275.6074 0001148 327.6932  32.4010 15.61289715336349
STARLINK-1506,45747,53.0763,0.000183,15.29243883,476.8166636084052,479.3260358644102,1 45747U 20038T   26189.81575478  .00005714  00000+0  21089-3 0  9990,2 45747  53.0763   0.7424 0001830 281.1445  78.9349 15.29243883335205
STARLINK-1464,45751,53.0464,0.0003003,15.55891175,397.5279867952431,401.5986736135628,1 45751U 20038X   26189.72012951  .00024475  00000+0  35280-3 0  9990,2 45751  53.0464 343.0646 0003003 117.6115 242.5201 15.55891175335431
STARLINK-1477,45754,53.0526,0.0001075,15.20578704,503.35405380457905,504.8337334467087,1 45754U 20038AA  26189.75524526  .00028897  00000+0  13122-2 0  9994,2 45754  53.0526  20.0650 0001075  62.8012 297.3092 15.20578704334914
STARLINK-1478,45755,53.0435,0.0002303,15.74527886,344.4264093294987,347.523535303947,1 45755U 20038AB  26189.72979167  .00065148  00000+0  43913-3 0  9999,2 45755  53.0435 324.0193 0002303 344.8312  15.2637 15.74527886335685
STARLINK-1493,45759,53.0454,0.0003551,15.68397757,361.0905557446604,365.8784553378964,1 45759U 20038AF  26189.97741655  .00046541  00000+0  40814-3 0  9992,2 45759  53.0454 333.6115 0003551 109.2276 250.9124 15.68397757335570
STARLINK-1502,45764,53.0434,0.0001675,15.67610915,364.6106305051917,366.86982937722314,1 45764U 20038AL  26189.74139772  .00046289  00000+0  41926-3 0  9998,2 45764  53.0434 338.9278 0001675 354.4928   5.6069 15.67610915335492
STARLINK-1470,45772,53.0429,0.0001126,15.37811702,451.81255582060203,453.3508336706591,1 45772U 20038AU  26189.67623067  .00022337  00000+0  60102-3 0  9999,2 45772  53.0429 328.4356 0001126  83.9815 276.1316 15.37811702335636
STARLINK-1482,45773,53.1573,0.0001933,15.40622879,442.95104565060683,445.58858812601557,1 45773U 20038AV  26189.69811469  .00047240  00000+0  11452-2 0  9990,2 45773  53.1573 344.5565 0001933 100.1526 259.9698 15.40622879335435
STARLINK-1496,45780,53.045,0.0004544,15.72711023,348.0948409036373,354.21041931948275,1 45780U 20038BC  26189.60627881  .00059369  00000+0  43310-3 0  9996,2 45780  53.0450 308.8796 0004544 340.1874  19.8967 15.72711023335884
STARLINK-1513,45786,53.16,0.000107,15.31724045,469.9354971003413,471.40114143866504,1 45786U 20038BJ  26189.70072782  .00004770  00000+0  16526-3 0  9992,2 45786  53.1600 348.1596 0001070  67.7551 292.3564 15.31724045335387
STARLINK-1522,46027,53.0636,0.0001236,15.14507442,521.6214136820827,523.3272448026719,1 46027U 20055A   26189.59403357  .00010611  00000+0  58500-3 0  9992,2 46027  53.0636 299.2616 0001236  75.4490 284.6639 15.14507442327171
STARLINK-1523,46028,53.1609,0.0003867,15.3272583,465.03647614678357,470.33103391872555,1 46028U 20055B   26189.58808976  .00013781  00000+0  44074-3 0  9990,2 46028  53.1609 284.8509 0003867 349.8265  10.2658 15.32725830327418
STARLINK-1526,46029,53.1617,0.0001579,15.3170608,469.64043630622746,471.8033059377276,1 46029U 20055C   26189.26133550  .00000102  00000+0  15059-4 0  9990,2 46029  53.1617 286.4402 0001579  55.0239 305.0911 15.31706080327358
STARLINK-1555,46032,53.1602,0.0001057,15.31695806,470.0285697300669,471.47642496980643,1 46032U 20055F   26188.33384906  .00000796  00000+0  37423-4 0  9992,2 46032  53.1602 290.7596 0001057  66.1845 293.9267 15.31695806327212
STARLINK-1556,46033,53.1575,9.44e-05,15.31724552,470.02028088937004,471.3133350483149,1 46033U 20055G   26189.55494168  .00005076  00000+0  17507-3 0  9996,2 46033  53.1575 285.0679 0000944  91.2727 268.8382 15.31724552327370
